Time	EMG
4.297	0.202348
4.298	0.0613905
4.299	-0.0697225
4.3	-0.154771
4.301	-0.142696
4.302	-0.141796
4.303	-0.0468967
4.304	0.135889
4.305	0.254224
4.306	0.184496
4.307	-0.0309687
4.308	-0.182547
4.309	-0.18271
4.31	-0.0600734
4.311	0.00454132
4.312	0.0595003
4.313	0.137531
4.314	0.156788
4.315	0.0227192
4.316	-0.190779
4.317	-0.214033
4.318	-0.106434
4.319	0.145014
4.32	0.42739
4.321	0.1943
4.322	-0.286762
4.323	-0.449628
4.324	-0.19766
4.325	0.216136
4.326	0.376108
4.327	0.0817206
4.328	-0.0913168
4.329	-0.0460237
4.33	-0.0013623
4.331	-0.0430468
4.332	-0.00615748
4.333	-0.116942
4.334	-0.0407508
4.335	0.0969209
4.336	0.0307891
4.337	-0.0577181
4.338	-0.036925
4.339	0.146879
4.34	0.28621
4.341	0.0518609
4.342	-0.24119
4.343	-0.356582
4.344	-0.292183
4.345	0.10612
4.346	0.470505
4.347	0.370232
4.348	-0.0755308
4.349	-0.333594
4.35	-0.273068
4.351	0.0328902
4.352	0.245752
4.353	0.224114
4.354	0.023442
4.355	-0.298492
4.356	-0.334918
4.357	-0.0250666
4.358	0.35476
4.359	0.293944
4.36	0.0545174
4.361	-0.294491
4.362	-0.333524
4.363	0.177912
4.364	0.348182
4.365	-0.0124219
4.366	-0.180153
4.367	-0.205729
4.368	-0.0832413
4.369	0.161742
4.37	0.308144
4.371	0.0606858
4.372	-0.273301
4.373	-0.205314
4.374	0.0470729
4.375	0.159439
4.376	0.15443
4.377	-0.108966
4.378	-0.153533
4.379	0.104882
4.38	0.28702
4.381	-0.00065081
4.382	-0.402742
4.383	-0.354769
4.384	0.0401583
4.385	0.337812
4.386	0.420682
4.387	0.161031
4.388	-0.18121
4.389	-0.300393
4.39	-0.109146
4.391	0.0206532
4.392	-0.0801759
4.393	0.03261
4.394	0.0724409
4.395	-0.103781
4.396	-0.0887974
4.397	0.377686
4.398	0.450078
4.399	-0.0741968
4.4	-0.455455
4.401	-0.313108
4.402	0.0178843
4.403	0.168059
4.404	0.0673624
4.405	-0.208076
4.406	-0.0570974
4.407	0.366798
4.408	0.396326
4.409	0.0224011
4.41	-0.291182
4.411	-0.519449
4.412	-0.196136
4.413	0.326072
4.414	0.35224
4.415	-0.0258713
4.416	-0.169029
4.417	-0.132161
4.418	0.0548521
4.419	0.310645
4.42	0.191612
4.421	-0.198612
4.422	-0.388837
4.423	-0.142135
4.424	0.203949
4.425	0.174891
4.426	-0.143551
4.427	-0.16393
4.428	0.146977
4.429	0.351421
4.43	0.235584
4.431	-0.148133
4.432	-0.211352
4.433	-0.251437
4.434	-0.279351
4.435	-0.234578
4.436	0.299489
4.437	0.786354
4.438	0.257
4.439	-0.459675
4.44	-0.447145
4.441	-0.244633
4.442	0.136609
4.443	0.422784
4.444	0.225639
4.445	-0.0786509
4.446	-0.0593593
4.447	-0.0773696
4.448	-0.358217
4.449	-0.453793
4.45	0.165786
4.451	0.632966
4.452	0.349912
4.453	0.0454043
4.454	-0.110221
4.455	-0.399139
4.456	-0.329697
4.457	0.0439892
4.458	0.161143
4.459	0.107388
4.46	0.0546628
4.461	0.0357366
4.462	-0.0963849
4.463	0.104262
4.464	0.0645427
4.465	-0.122798
4.466	0.018026
4.467	-0.0572681
4.468	-0.0529014
4.469	0.00925035
4.47	0.200696
4.471	0.18417
4.472	-0.295508
4.473	-0.429909
4.474	0.0441697
4.475	0.377155
4.476	0.252852
4.477	0.0749137
4.478	-0.140295
4.479	-0.250937
4.48	-0.0417042
4.481	0.0725855
4.482	-0.0584625
4.483	-0.16447
4.484	-0.0545166
4.485	0.282707
4.486	0.496987
4.487	0.19946
4.488	-0.433488
4.489	-0.721849
4.49	-0.177111
4.491	0.41014
4.492	0.417245
4.493	0.0296655
4.494	-0.0447642
4.495	-0.00502763
4.496	-0.114725
4.497	-0.0514321
4.498	0.042702
4.499	-0.0358091
4.5	-0.1382
